product_code,title,product_description,currency,price,product_quantity_raw,price_per_product_quantity_raw,tax_details,additional_manufacturer,manufacturers,product_info_url,country,product_img_url,availability,raw_data,raw_html
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/sterile_catheter_lubricant_gel_12_ml_box_of_25,UK,,,,
GI22104,Sterile Catheter Lubricant Gel 12 ml Box of 25,,GBP,"£
                        90.00",1,,(Inc. VAT),,,https://www.medema.co.uk/sterile_catheter_lubricant_gel_12_ml_box_of_25,UK,./media/products/a5efe311d68960dfc082ebfb8021e944.jpg|./media/products/a5efe311d68960dfc082ebfb8021e944.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/kly__lubricating_jelly_sterile_universal_lubricant,UK,,,,
GIM29958,Lubricant Gel tube 42 g  Tube Sterile,,GBP,"£
                        4.55",1,,(Inc. VAT),,,https://www.medema.co.uk/kly__lubricating_jelly_sterile_universal_lubricant,UK,./media/products/5a66b14c0b2a61c8357bc4cda0736dd7.jpg|./media/products/5a66b14c0b2a61c8357bc4cda0736dd7.jpg,,,
GIM29959,Lubricant Gel 82 g Tube Non Sterile,,GBP,"£
                        4.55",1,,(Inc. VAT),,,https://www.medema.co.uk/kly__lubricating_jelly_sterile_universal_lubricant,UK,./media/products/45a9953ecb9009894520ff5a97608431.jpg|./media/products/45a9953ecb9009894520ff5a97608431.jpg,,,
GIM29957,Lubricant Gel Sachet 5 g Non sterile Box of 100,,GBP,"£
                        29.99",1,,(Inc. VAT),,,https://www.medema.co.uk/kly__lubricating_jelly_sterile_universal_lubricant,UK,./media/products/2f42ca24493dc480075e1eb48424a2d4.jpg|./media/products/2f42ca24493dc480075e1eb48424a2d4.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/riester_ri_thermo_n_with_anti-theft_security,UK,,,,
HEL217,Riester ri-thermo N with Anti-Theft Security|,,GBP,"£
                        74.40",1,,(Inc. VAT),,,https://www.medema.co.uk/riester_ri_thermo_n_with_anti-theft_security,UK,./media/products/047e111ea7ab2b13540adaef6ede09f8.jpg|./media/products/047e111ea7ab2b13540adaef6ede09f8.jpg,,,
RE12700,Reister Ri-thermo  Pack of 25 disposable probe covers|,,GBP,"£
                        5.24",1,,(Inc. VAT),,,https://www.medema.co.uk/riester_ri_thermo_n_with_anti-theft_security,UK,./media/products/d2fb90280b40be4b63d20ed51bf68137.jpg|./media/products/d2fb90280b40be4b63d20ed51bf68137.jpg,,,
RE12701,Reister Ri-thermo Pack of 100 disposable probe covers,,GBP,"£
                        16.44",1,,(Inc. VAT),,,https://www.medema.co.uk/riester_ri_thermo_n_with_anti-theft_security,UK,./media/products/669ed3061e188f63f86670a583e84d61.jpg|./media/products/669ed3061e188f63f86670a583e84d61.jpg,,,
RE12702,Reister Ri-thermo  Pack of 1000 disposable probe covers|,,GBP,"£
                        64.56",1,,(Inc. VAT),,,https://www.medema.co.uk/riester_ri_thermo_n_with_anti-theft_security,UK,./media/products/192592f4f36fb0db8d61fd46c0362b24.jpg|./media/products/192592f4f36fb0db8d61fd46c0362b24.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/childrens_digital_thermometers__fun_accurate_and_fast,UK,,,,
GIM-25544,Childrens Digital Thermometer  Frog,,GBP,"£
                        13.80",1,,(Inc. VAT),,,https://www.medema.co.uk/childrens_digital_thermometers__fun_accurate_and_fast,UK,./media/products/DT-MON.jpg|./media/products/DT-MON.jpg,,,
PREDT-ALI,Childrens Digital Thermometer - Alligator|PLEASE NOTE -OUT OF STOCK,,GBP,"£
                        13.80",1,,(Inc. VAT),,,https://www.medema.co.uk/childrens_digital_thermometers__fun_accurate_and_fast,UK,./media/products/DT-ALI.jpg|./media/products/DT-ALI.jpg,,,
PREDT35,Childrens Digital Thermometer - Panda|PLEASE NOTE -OUT OF STOCK,,GBP,"£
                        13.80",1,,(Inc. VAT),,,https://www.medema.co.uk/childrens_digital_thermometers__fun_accurate_and_fast,UK,./media/products/dt35.jpg|./media/products/dt35.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/dental_hygiene_kits,UK,,,,
SURGMAXD090989,"Dental Hygiene Kit For Home Use|Tartar Scraper, Scaler Instrument, Toothpick and  Mouth Mirror",,GBP,"£
                        15.54",1,,(Inc. VAT),,,https://www.medema.co.uk/dental_hygiene_kits,UK,./media/products/00e27688e407ef85681f1e7e1b8ce4ca.jpg|./media/products/00e27688e407ef85681f1e7e1b8ce4ca.jpg,,,
,,,GBP,,1,,(Inc. VAT),,,https://www.medema.co.uk/pedal_exerciser__stimulate_circulation,UK,,,,
